lines,stations,longitude,latitude
1号线,苹果园,39.926727,116.177388
1号线,古城,39.90745,116.190337
1号线,八角游乐园,39.907442,116.212684
1号线,八宝山,39.90744,116.235948
1号线,玉泉路,39.907433,116.252888
1号线,五棵松,39.907456,116.273987
1号线,万寿路,39.907474,116.294765
1号线,公主坟,39.907469,116.309919
1号线,军事博物馆,39.907422,116.321459
1号线,木樨地,39.907379,116.337583
1号线,南礼士路,39.907234,116.352583
1号线,复兴门,39.907242,116.356866
1号线,西单,39.907383,116.374072
1号线,天安门西,39.907472,116.391278
1号线,天安门东,39.90778,116.401216
1号线,王府井,39.908069,116.411571
1号线,东单,39.908325,116.41848
1号线,建国门,39.908501,116.435806
1号线,永安里,39.908454,116.450497
1号线,国贸,39.909104,116.461841
1号线,大望路,39.908287,116.475783
1号线,四惠,39.908749,116.495456
1号线,四惠东,39.908495,116.515664
2号线,积水潭,39.948653,116.373126
2号线,鼓楼大街,39.948972,116.393776
2号线,安定门,39.94918,116.40824
2号线,雍和宫,39.949336,116.417069
2号线,东直门,39.941626,116.435842
2号线,东四十条,39.933801,116.434133
2号线,朝阳门,39.924499,116.434584
2号线,建国门,39.908501,116.435806
2号线,北京站,39.904983,116.427287
2号线,崇文门,39.901063,116.417093
2号线,前门,39.900192,116.397937
2号线,和平门,39.900098,116.384209
2号线,宣武门,39.899765,116.374314
2号线,长椿街,39.899433,116.363355
2号线,复兴门,39.907242,116.356866
2号线,阜成门,39.923686,116.356009
2号线,车公庄,39.932397,116.354357
2号线,西直门,39.940474,116.355426
4号线,天宫院,39.670342,116.319932
4号线,生物医药基地,39.68651,116.321662
4号线,义和庄,39.712387,116.319079
4号线,黄村火车站,39.722966,116.332611
4号线,黄村西大街,39.731769,116.332631
4号线,清源路,39.742724,116.332513
4号线,枣园,39.753458,116.332204
4号线,高米店南,39.763489,116.331605
4号线,高米店北,39.773547,116.330787
4号线,西红门,39.7898,116.328689
4号线,新宫,39.812592,116.365549
4号线,公益西桥,39.836135,116.370796
4号线,角门西,39.84585,116.371154
4号线,马家堡,39.853109,116.371361
4号线,北京南站,39.865012,116.379008
4号线,陶然亭,39.87847,116.374383
4号线,菜市口,39.889296,116.374425
4号线,宣武门,39.899765,116.374314
4号线,西单,39.907383,116.374072
4号线,灵境胡同,39.915912,116.373746
4号线,西四,39.924206,116.373332
4号线,平安里,39.933949,116.372883
4号线,新街口,39.940667,116.367742
4号线,西直门,39.940474,116.355426
4号线,动物园,39.93825,116.339031
4号线,国家图书馆,39.943114,116.32519
4号线,魏公村,39.957904,116.32322
4号线,人民大学,39.966956,116.321367
4号线,海淀黄庄,39.975996,116.317564
4号线,中关村,39.983991,116.316467
4号线,北京大学东门,39.992212,116.315842
4号线,圆明园,39.999662,116.310186
4号线,西苑,39.998258,116.290908
4号线,北宫门,40.002373,116.277647
4号线,安河桥北,40.012195,116.269956
5号线,天通苑北,40.083668,116.412888
5号线,天通苑,40.075222,116.412759
5号线,天通苑南,40.066458,116.412661
5号线,立水桥,40.053032,116.41235
5号线,立水桥南,40.041956,116.414496
5号线,北苑路北,40.030436,116.418089
5号线,大屯路东,40.003841,116.417377
5号线,惠新西街北口,39.987836,116.417028
5号线,惠新西街南口,39.977121,116.417537
5号线,和平西桥,39.968386,116.417975
5号线,和平里北街,39.958734,116.418504
5号线,雍和宫,39.949336,116.417069
5号线,北新桥,39.940782,116.416884
5号线,张自忠路,39.933592,116.417156
5号线,东四,39.92437,116.417493
5号线,灯市口,39.917113,116.417783
5号线,东单,39.908325,116.41848
5号线,崇文门,39.901063,116.417093
5号线,磁器口,39.893172,116.41994
5号线,天坛东门,39.882558,116.420833
5号线,蒲黄榆,39.865621,116.42372
5号线,刘家窑,39.857521,116.422119
5号线,宋家庄,39.845849,116.428368
6号线,东夏园,39.903147,116.73385
6号线,潞城,39.902652,116.747434
6号线,郝家府,39.903195,116.717826
6号线,北运河东,39.903079,116.707564
6号线,北运河西,39.903024,116.688358
6号线,通运门,39.910583,116.673284
6号线,通州北关,39.917962,116.661131
6号线,物资学院路,39.926801,116.639316
6号线,草房,39.924477,116.615574
6号线,常营,39.925696,116.599722
6号线,黄渠,39.924201,116.578266
6号线,褡裢坡,39.924021,116.563961
6号线,青年路,39.923168,116.517429
6号线,十里堡,39.923076,116.502045
6号线,金台路,39.923556,116.478115
6号线,呼家楼,39.923337,116.461618
6号线,东大桥,39.923054,116.451657
6号线,朝阳门,39.924499,116.434584
6号线,东四,39.92437,116.417493
6号线,南锣鼓巷,39.933848,116.404192
6号线,北海北,39.933247,116.386829
6号线,平安里,39.933949,116.372883
6号线,车公庄,39.932397,116.354357
6号线,车公庄西,39.932466,116.344082
6号线,白石桥南,39.933022,116.32568
6号线,花园桥,39.93234,116.310683
6号线,慈寿寺,39.933268,116.295467
6号线,海淀五路居,39.932584,116.276531
7号线,北京西,39.894763,116.321262
7号线,湾子,39.889954,116.327753
7号线,达官营,39.889884,116.336455
7号线,广安门内,39.889418,116.358239
7号线,菜市口,39.889296,116.374425
7号线,虎坊桥,39.889486,116.384596
7号线,珠市口,39.891267,116.398104
7号线,桥湾,39.892725,116.408464
7号线,磁器口,39.893172,116.41994
7号线,广渠门内,39.893673,116.433877
7号线,广渠门外,39.893648,116.448998
7号线,九龙山,39.893222,116.478695
7号线,大郊亭,39.893183,116.487935
7号线,百子湾,39.89253,116.497768
7号线,化工,39.887369,116.503439
7号线,南楼梓庄,39.874578,116.501084
7号线,欢乐谷景区,39.866505,116.500067
7号线,垡头,39.860864,116.511829
7号线,双合,39.859691,116.526836
7号线,焦化厂,39.855488,116.537247
8号线,朱辛庄,40.104297,116.313698
8号线,育知路,40.087863,116.326992
8号线,平西府,40.090607,116.350425
8号线,回龙观东大街,40.081175,116.363025
8号线,霍营,40.071857,116.360286
8号线,育新,40.060039,116.347328
8号线,西小口,40.046873,116.351644
8号线,永泰庄,40.037728,116.35458
8号线,林萃桥,40.021906,116.372998
8号线,森林公园南门,40.010122,116.3926
8号线,奥林匹克公园,40.002207,116.391758
8号线,奥体中心,39.985837,116.393759
8号线,北土城,39.976953,116.394193
8号线,安华桥,39.968507,116.394655
8号线,安德里北街,39.957227,116.395145
8号线,鼓楼大街,39.948972,116.393776
8号线,什刹海,39.937583,116.396219
8号线,南锣鼓巷,39.933848,116.404192
8号线,中国美术馆,39.925274,116.410835
8号线,王府井北,39.915281,116.411057
8号线,天桥,39.882514,116.399042
8号线,永定门外,39.867435,116.399369
8号线,木樨园北,39.859411,116.4
8号线,木樨园南,39.851821,116.400301
8号线,大红门桥,39.836311,116.40107
8号线,和义,39.814412,116.402247
8号线,西洼地,39.805258,116.408468
8号线,六营门,39.800395,116.418643
8号线,五福堂,39.785538,116.423041
9号线,国家图书馆,39.943114,116.32519
9号线,白石桥南,39.933022,116.32568
9号线,白堆子,39.923818,116.325762
9号线,军事博物馆,39.907422,116.321459
9号线,北京西,39.894763,116.321262
9号线,六里桥东,39.886886,116.315142
9号线,六里桥,39.880239,116.302808
9号线,七里庄,39.866773,116.294292
9号线,丰台东大街,39.855111,116.293857
9号线,丰台南路,39.840444,116.296748
9号线,科怡路,39.83248,116.297432
9号线,丰台科技园,39.825233,116.297176
9号线,郭公庄,39.814322,116.301889
10号线,车道沟,39.947923,116.293818
10号线,长春桥,39.958527,116.294255
10号线,火器营,39.965938,116.289058
10号线,巴沟,39.974179,116.293727
10号线,苏州街,39.975642,116.306332
10号线,海淀黄庄,39.975996,116.317564
10号线,知春里,39.976334,116.328709
10号线,知春路,39.976476,116.33996
10号线,西土城,39.976549,116.354098
10号线,牡丹园,39.976603,116.369844
10号线,健德门,39.976723,116.381353
10号线,北土城,39.976953,116.394193
10号线,安贞门,39.977005,116.405954
10号线,惠新西街南口,39.977121,116.417537
10号线,芍药居,39.977636,116.435914
10号线,太阳宫,39.972678,116.447469
10号线,三元桥,39.961508,116.456997
10号线,亮马桥,39.949415,116.461794
10号线,农业展览馆,39.941344,116.461724
10号线,团结湖,39.933747,116.461806
10号线,呼家楼,39.923337,116.461618
10号线,金台夕照,39.916838,116.461743
10号线,国贸,39.909104,116.461841
10号线,双井,39.893479,116.460627
10号线,劲松,39.884387,116.461325
10号线,潘家园,39.875387,116.460926
10号线,十里河,39.866417,116.457983
10号线,分钟寺,39.852227,116.453976
10号线,成寿寺,39.845874,116.447531
10号线,宋家庄,39.845849,116.428368
10号线,石榴庄,39.845905,116.414103
10号线,大红门,39.845383,116.399154
10号线,角门东,39.845135,116.385649
10号线,角门西,39.84585,116.371154
10号线,草桥,39.845869,116.351387
10号线,纪家庙,39.844433,116.333381
10号线,首经贸,39.844463,116.320202
10号线,丰台站,39.849639,116.30454
10号线,泥洼,39.858609,116.304173
10号线,西局,39.86677,116.303819
10号线,六里桥,39.880239,116.302808
10号线,莲花桥,39.897867,116.310347
10号线,公主坟,39.907469,116.309919
10号线,西钓鱼台,39.923481,116.298064
10号线,慈寿寺,39.933268,116.295467
13号线,西直门,39.940474,116.355426
13号线,大钟寺,39.966612,116.345139
13号线,知春路,39.976476,116.33996
13号线,五道口,39.992894,116.337742
13号线,上地,40.033007,116.320193
13号线,西二旗,40.053034,116.306295
13号线,龙泽,40.070882,116.319429
13号线,回龙观,40.0708,116.336116
13号线,霍营,40.071857,116.360286
13号线,立水桥,40.053032,116.41235
13号线,北苑,40.042997,116.434518
13号线,望京西,39.995724,116.449884
13号线,芍药居,39.977636,116.435914
13号线,光熙门,39.968337,116.431761
13号线,柳芳,39.958157,116.432728
13号线,东直门,39.941626,116.435842
14号线(东段),十里河,39.866417,116.457983
14号线(东段),九龙山,39.893222,116.478695
14号线(东段),北京南站,39.865012,116.379008
14号线(东段),蒲黄榆,39.865621,116.42372
14号线(东段),方庄,39.865868,116.440244
14号线(东段),永定门外,39.867435,116.399369
14号线(东段),景泰,39.865255,116.411027
14号线(东段),南八里庄,39.865012,116.379008
14号线(东段),北工大西门,39.875445,116.477319
14号线(东段),平乐园,39.885275,116.477307
14号线(东段),红庙,39.915605,116.478064
14号线(东段),金台路,39.923556,116.478115
14号线(东段),朝阳公园,39.933492,116.478291
14号线(东段),枣营,39.944132,116.474947
14号线(东段),东风北桥,39.958375,116.485919
14号线(东段),将台,39.971109,116.489496
14号线(东段),高家园,39.980572,116.488543
14号线(东段),望京南,39.984634,116.481634
14号线(东段),阜通,39.991699,116.47174
14号线(东段),望京,39.998521,116.469409
14号线(东段),东湖渠,40.01067,116.467412
14号线(东段),来广营,40.020588,116.466994
14号线(东段),善各庄,40.02716,116.478195
14号线(西段),张郭庄,39.8581,116.187193
14号线(西段),园博园,39.861328,116.201643
14号线(西段),西局,39.86677,116.303819
14号线(西段),七里庄,39.866773,116.294292
14号线(西段),大井,39.865226,116.276061
14号线(西段),郭庄子,39.864841,116.253068
14号线(西段),大瓦窑,39.85947,116.24048
15号线,望京东,40.0032,116.487105
15号线,俸伯,40.132573,116.684732
15号线,顺义,40.129994,116.657023
15号线,石门,40.129802,116.641117
15号线,南法信,40.128478,116.609535
15号线,后沙峪,40.114127,116.564211
15号线,花梨坎,40.084436,116.557593
15号线,国展,40.07003,116.555127
15号线,孙河,40.045113,116.5347
15号线,马泉营,40.033721,116.50348
15号线,崔各庄,40.022201,116.492968
15号线,望京,39.998521,116.469409
15号线,望京西,39.995724,116.449884
15号线,关庄,40.001134,116.430947
15号线,大屯路东,40.003841,116.417377
15号线,安立路,40.002619,116.407845
15号线,奥林匹克公园,40.002207,116.391758
15号线,北沙滩,40.001492,116.368143
15号线,六道口,40.000958,116.35267
15号线,清华东路西口,40.000673,116.33953
16号线,北安河,40.068128,116.130428
16号线,温阳路,40.068516,116.161361
16号线,稻香湖路,40.068936,116.188145
16号线,屯佃,40.068454,116.21585
16号线,永丰,40.071868,116.238481
16号线,永丰南,40.065575,116.248154
16号线,西北旺,40.048703,116.257923
16号线,马连洼,40.032637,116.27252
16号线,农大南路,40.021398,116.282272
16号线,西苑,39.998258,116.290908
八通线,四惠,39.908749,116.495456
八通线,四惠东,39.908495,116.515664
八通线,高碑店,39.909448,116.531421
八通线,传媒大学,39.909215,116.554639
八通线,双桥,39.910139,116.576709
八通线,管庄,39.90909,116.599002
八通线,八里桥,39.906121,116.618658
八通线,通州北苑,39.903864,116.637252
八通线,果园,39.893393,116.646606
八通线,九棵树,39.890278,116.657533
八通线,梨园,39.883677,116.66872
八通线,临河里,39.875496,116.678811
八通线,土桥,39.871926,116.686349
亦庄线,宋家庄,39.845849,116.428368
亦庄线,肖村,39.834217,116.448364
亦庄线,小红门,39.827951,116.459226
亦庄线,旧宫,39.80691,116.460789
亦庄线,亦庄桥,39.803011,116.480307
亦庄线,亦庄文化园,39.80689,116.490632
亦庄线,万源街,39.802971,116.505403
亦庄线,荣京东街,39.793189,116.513321
亦庄线,荣昌东街,39.782832,116.521688
亦庄线,同济南路,39.772962,116.539901
亦庄线,经海路,39.783673,116.562321
亦庄线,次渠南,39.795118,116.581357
亦庄线,次渠,39.8035,116.591502
亦庄线,亦庄火车站,39.813215,116.602475
昌平线,西二旗,40.053034,116.306295
昌平线,生命科学园,40.09479,116.29423
昌平线,朱辛庄,40.104297,116.313698
昌平线,巩华城,40.1309,116.293979
昌平线,沙河,40.148278,116.288865
昌平线,沙河高教园,40.164666,116.280465
昌平线,南邵,40.207492,116.287534
昌平线,北邵洼,40.222001,116.281949
昌平线,昌平东关,40.221726,116.262059
昌平线,昌平,40.22055,116.23359
昌平线,十三陵景区,40.240255,116.207729
昌平线,昌平西山口,40.244624,116.195371
房山线,阎村东,39.729028,116.100817
房山线,苏庄,39.723188,116.125306
房山线,良乡南关,39.723202,116.140804
房山线,良乡大学城西,39.723157,116.156282
房山线,良乡大学城,39.723159,116.176541
房山线,良乡大学城北,39.729906,116.18348
房山线,广阳城,39.74793,116.184985
房山线,篱笆房,39.760636,116.189486
房山线,长阳,39.763871,116.212692
房山线,稻田,39.794885,116.21884
房山线,大葆台,39.80781,116.291681
房山线,郭公庄,39.814322,116.301889
机场线,东直门,39.941626,116.435842
机场线,三元桥,39.961508,116.456997
机场线,T3航站楼,40.052544,116.615579
机场线,T2航站楼,40.079311,116.592808
燕房线,阎村东,39.729028,116.100817
燕房线,紫草坞,39.724606,116.08672
燕房线,阎村,39.716731,116.080165
燕房线,大石河东,39.709893,116.039906
燕房线,星城,39.713681,116.06137
燕房线,马各庄,39.705103,116.016606
燕房线,饶乐府,39.701471,116.006103
